feature_rank,dim,col,percentile,dataset_idx,image_path,mu,sigma,kl,query_kl,query_mu,query_sigma
1,4560,0,0.0,38080,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/42301.png,-1.015625,1.0108617544174194,0.5158646106719971,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,1,11.11111111111111,15042,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/16753.png,-0.373046875,0.9907655715942383,0.0696675181388855,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,2,22.22222222222222,35657,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/39592.png,-0.2421875,0.9911889433860779,0.02940523624420166,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,3,33.33333333333333,22288,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/24771.png,-0.1396484375,0.992763102054596,0.009803354740142822,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,4,44.44444444444444,30528,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/33934.png,-0.054931640625,0.9939454197883606,0.0015454888343811035,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,5,55.55555555555556,34338,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/38149.png,0.031982421875,1.002719759941101,0.000518798828125,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,6,66.66666666666666,47400,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/52623.png,0.1328125,1.003730058670044,0.008833467960357666,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,7,77.77777777777777,34723,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/38563.png,0.244140625,0.9952505826950073,0.029824912548065186,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,8,88.88888888888889,13085,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/14566.png,0.40625,0.9927934408187866,0.08257162570953369,0.3862382769584656,0.87890625,1.0003949403762817
1,4560,9,100.0,56583,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/62886.png,1.140625,0.9941577315330505,0.6505469083786011,0.3862382769584656,0.87890625,1.0003949403762817
2,1947,0,0.0,30849,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/34294.png,-0.9453125,1.0032553672790527,0.446818470954895,0.29915666580200195,-0.7734375,1.0073511600494385
2,1947,1,11.11111111111111,26439,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/29368.png,-0.359375,1.0000455379486084,0.0645751953125,0.29915666580200195,-0.7734375,1.0073511600494385
2,1947,2,22.22222222222222,55561,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/61712.png,-0.2294921875,1.0017563104629517,0.0263364315032959,0.29915666580200195,-0.7734375,1.0073511600494385
2,1947,3,33.33333333333333,15043,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/16754.png,-0.130859375,0.9916124939918518,0.008632659912109375,0.29915666580200195,-0.7734375,1.0073511600494385
2,1947,4,44.44444444444444,6572,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/07335.png,-0.0458984375,1.0001497268676758,0.0010533332824707031,0.29915666580200195,-0.7734375,1.0073511600494385
2,1947,5,55.55555555555556,30020,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/33366.png,0.035400390625,1.007381796836853,0.0006809234619140625,0.29915666580200195,-0.7734375,1.0073511600494385
2,1947,6,66.66666666666666,236,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/00259.png,0.12158203125,1.0021384954452515,0.007395684719085693,0.29915666580200195,-0.7734375,1.0073511600494385
2,1947,7,77.77777777777777,4746,/scratch/x3411a10/datasets/ffhq256/imagefolder/train/images/05323.png,0.2158203125,1.0041589736938477,0.02330648899078369,0.29915666580200195,-0.7734375,1.0073511600494385
